split,threshold,precision,recall,f1,roc_auc,pr_auc
validation,0.9000000000000002,0.09088209088209089,0.7454323995127893,0.16201191264063533,0.9821052988450706,0.5548517085832259
test,0.9000000000000002,0.09125983083543553,0.7486305538648813,0.16268765293300708,0.9833462812766828,0.5395170243615319
