split,accuracy,precision,recall,f1,roc_auc,pr_auc
validation,0.9357465949561659,0.018184879609361847,0.9208282582216809,0.035665424352502716,0.9827745953125084,0.5574511318598395
test,0.9359155505122104,0.018464505242858864,0.9324406573341448,0.036211929608925345,0.9855835755264981,0.5654638818646328
